,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11,Dim.12,Dim.13,Dim.14,Dim.15,Dim.16,Dim.17,Dim.18,Dim.19,Dim.20,Dim.21,Dim.22,Dim.23,Dim.24,Dim.25,Dim.26,Dim.27,Dim.28,Dim.29,Dim.30
interaction_rate_bin_8,-0.500484347229903,0.404746458665022,0.25756960434109,0.410086253430682,0.0701557632961343,0.133866002849906,0.0507665685911181,-0.0155072945913558,-0.0522537172887222,0.020350180979361,-0.0305728844044006,0.0359946261714272,0.0111201068572604,0.0155353781522585,0.0160095508917954,0.0439102029980637,-0.0773599875297253,-0.0373595906065976,0.195451307504393,-0.0563157092412943,0.0968933007912869,-0.0124915217269709,0.0345125244552752,0.0306324427554947,-0.139481713976174,0.237436762519072,-0.026350893090909,0.0715704201509218,-0.376673161189946,-0.103293941558972
interaction_rate_bin_4,-0.553650016200627,0.380237231936354,0.293156729184551,0.308961094463131,0.0241152542766758,-0.0071561543590367,-0.121844616905225,0.0529158008554291,0.106659658273035,-0.0570365091019712,0.0240336099524067,-0.0347630593030974,-0.0630174462814988,0.021778882042765,-0.035883805115281,0.119594127019265,0.0414616778330004,0.143508321347088,-0.0557479947011078,0.0958796341076636,-0.0799798449414359,0.171154723166359,-0.131702824886971,-0.089912030856282,-0.0242721485684654,-0.150754053699665,0.0671846730112272,0.198697488992211,-0.0836308823874108,0.197122629925945
interaction_rate_bin_2,-0.567655815320935,0.279145116573211,0.369570453121846,0.135137070840248,-0.0396342485888123,-0.0918977177697909,-0.128033960502314,0.0276800656935168,-0.163345314365303,0.0269105392976548,0.0143188839960589,0.0955442641940949,0.148330010851367,-0.106844528901818,0.100925676094793,0.0506533478480878,0.0686906421142207,0.233902238427712,-0.129721663812751,0.175003387466255,-0.122055100834729,-0.0655873632237379,0.124292158091378,-0.0661395051410878,-0.080200177073919,0.0140344327267843,-0.132099357155833,-0.0614138573453718,-0.0650313743746551,-0.0498750757469919
interaction_rate_bin_10,-0.459398612635644,0.37991420604982,0.256094366516141,0.408790176575856,0.0836257570929528,0.176407805558393,0.0573248507703817,-0.0046908384435233,-0.0434609760651269,-0.0493803721022014,0.068860200114201,-0.0096461002476943,0.0364040485820695,0.123233544268787,0.0054598793662467,0.0131758430498043,0.0210556941612818,-0.203769250265097,0.14531505985386,-0.134400975679367,0.120599262168486,0.0127886287237431,0.218633351448687,0.0050278536815116,0.0307627366737058,-4.79956812876635e-05,-0.108827242782901,0.285682810414881,0.274835066340401,-0.109449426665218
interaction_rate_bin_6,-0.52773619204969,0.418041736751732,0.251591127739668,0.357680096978453,0.0608375777400518,0.0675476530165342,-0.0254272232026975,-0.0116404468647041,0.107214856117421,0.10293968254321,0.0699012354598416,0.0094751119502556,0.0029062325459351,-0.104497312812814,-0.0509505484997824,-0.0333076219155585,0.103510543934578,-0.0257142647283123,0.0475991171430283,-0.0166486748417364,-0.0030795010739829,0.167623375490056,-0.199605822816707,0.0157945037082944,0.154393566308027,0.0803267655959051,-0.0094224736650878,-0.263574456064642,0.0808169092875321,-0.24035104396433
interaction_rate_bin_3,-0.562395143838305,0.332057863107457,0.320929879868784,0.208676572008495,0.0146614027526326,-0.0707080874593372,-0.151791491298807,0.0340882687216695,-0.0400049331573891,-0.102126360306523,0.0029438924363275,0.173790427919963,-0.115308418038865,-0.0505019728506072,0.0168995489970514,-0.0903807405108186,0.0299705000254572,0.215880003976845,-0.0856481043812637,0.142729573097054,-0.160576016012612,0.0471749232639298,0.0440780526990349,-0.109401634565239,-0.0478825634838345,-0.14117040485236,-0.266480671701132,-0.0382457312521513,0.0242213549973669,0.0648107711877766
interaction_rate_bin_1,-0.561816537157548,0.219495278500094,0.421129890321756,0.0120837588794648,-0.0893097997621461,-0.0847449934167489,0.0063842046773073,0.0378141016905309,-0.128211896956823,0.207792681539993,0.111747814354276,-0.117341209153312,-0.130662422361215,-0.0124131034937278,0.0114119620680506,0.0068869146764729,0.0049174364708763,0.224630457844341,-0.100811389928174,0.204942613585961,-0.144197328808125,-0.158807743179227,0.167847936947156,0.0868764649851441,0.0163157590885907,0.0847044184190086,0.0619352359516148,-0.0707677090811717,0.108770955274634,-0.0635973279799165
interaction_rate_bin_7,-0.517194577802682,0.401933539511233,0.247349047862732,0.390186574824796,0.0876493386841999,0.117421035071973,0.0343235386568004,0.0002402365788299,0.05055476131495,0.111026090579267,-0.015337711616946,0.0961635978823902,-0.0071271210646679,0.0507744685527899,0.0472989297166319,0.0625782628465207,-0.027370051547698,-0.123725024732986,0.0245689873015813,-0.0357904321880657,0.0248972888091269,0.0800020408875299,-0.181886226205831,0.0791836847383255,-0.0490258429739505,0.263727322644023,-0.0267837304427133,-0.110862191474699,0.151375171999299,0.326090471463556
interaction_rate_bin_0,-0.55657752977203,0.164723696418151,0.460966372405185,-0.107512668058214,-0.131557704149441,-0.0967680835583213,0.231407963447708,-0.0553228034723791,0.15140927343757,-0.0469541067971898,0.0187358552222118,0.0574449920640329,-0.0335405869687241,-0.0692778833176414,0.0628272629776129,0.0335061063413021,0.0334935038557644,0.152110708863752,-0.0896239346598438,0.130214699107143,-0.0535127683091854,-0.220140871533751,0.117820649263538,0.152931168988159,0.0348883481364894,0.113460509107555,0.245735602531081,0.0809225062908961,0.0349720232229869,0.0364610455710603
interaction_rate_bin_9,-0.449689667432784,0.362686060676786,0.208855595426725,0.430533919147157,0.083863747538141,0.150077926779385,0.128762053776757,-0.0919042171660269,-0.188761135009862,-0.145790460436688,-0.0221006921020579,-0.134858472989727,-0.0251980937149462,-0.110036061081127,-0.0306160595220214,-0.0138367839241441,-0.0542586406422867,-0.22653028032522,-0.0316518757143592,-0.0877628381860781,0.0302311660109427,-0.24241799661441,-0.151297716318307,0.0459645645116261,-0.188144648454561,-0.0868822117540524,-0.0220082407941621,0.0206940861454551,0.0204849501327325,-0.0402111255908909
