method_type,params,explained_variance_ratio,overall_sparsity,mean_sparsity_per_component,interpretable_components,reconstruction_error,converged,n_iter,success,condition,combination_id,bic_score,bic_penalty,explained_var_norm,interpretable_comp_norm,sparsity_score,reconstruction_score,convergence_score,combined_score
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,0.39832370319978816,True,3,True,List1,15,-2814.7994398354394,0.17113906894126876,0.47148804603229466,0.0,0.11904761904761904,0.9478970206912808,1.0,0.3825878392658569
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,2.6102019631835183,True,3,True,List1,16,3131.380809908536,0.9698937179569211,0.47148804603229466,0.0,0.11904761904761904,0.0884322044692647,1.0,0.10989228000973705
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,2.6102019631835183,True,3,True,List1,17,3131.380809908536,0.9698937179569211,0.47148804603229466,0.0,0.11904761904761904,0.0884322044692647,1.0,0.10989228000973705
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 15, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9932541151393495,0.07142857142857142,0.07142857142857141,0,0.2642339242604626,True,3,True,List1,18,-4088.81237103054,0.0,0.5724585651962308,0.0,0.11904761904761904,1.0,1.0,0.451499474320774
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 15, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9932541151393495,0.07142857142857142,0.07142857142857141,0,0.2642339242604626,True,3,True,List1,19,-4088.81237103054,0.0,0.5724585651962308,0.0,0.11904761904761904,1.0,1.0,0.451499474320774
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 15, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9932541151393495,0.07142857142857142,0.07142857142857141,0,0.33944164598375426,True,3,True,List1,20,-3296.584419927937,0.10642054772063048,0.5724585651962308,0.0,0.11904761904761904,0.9707766960330535,1.0,0.4279602801360185
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 15, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9932541151393495,0.07142857142857142,0.07142857142857141,0,0.33944164598375426,True,3,True,List1,21,-3296.584419927937,0.10642054772063048,0.5724585651962308,0.0,0.11904761904761904,0.9707766960330535,1.0,0.4279602801360185
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 15, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9932541151393495,0.07142857142857142,0.07142857142857141,0,2.5656719802352304,True,3,True,List1,22,3101.1323473409857,0.9658304203294321,0.5724585651962308,0.0,0.11904761904761904,0.10573512493438164,1.0,0.14351026740163345
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 15, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9932541151393495,0.07142857142857142,0.07142857142857141,0,2.5656719802352304,True,3,True,List1,23,3101.1323473409857,0.9658304203294321,0.5724585651962308,0.0,0.11904761904761904,0.10573512493438164,1.0,0.14351026740163345
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 7, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9584069783756667,0.07142857142857142,0.07142857142857141,0,0.5872928483370076,True,3,True,List1,24,-1627.0339136625394,0.3306924622330339,0.02304154216830589,0.0,0.11904761904761904,0.8744696831495724,1.0,0.20832017668288627
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 7, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9584069783756667,0.07142857142857142,0.07142857142857141,0,0.5872928483370076,True,3,True,List1,25,-1627.0339136625394,0.3306924622330339,0.02304154216830589,0.0,0.11904761904761904,0.8744696831495724,1.0,0.20832017668288627
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 7, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9584069783756667,0.07142857142857142,0.07142857142857141,0,0.6598620279708698,True,3,True,List1,26,-1258.5217053080091,0.38019497094942867,0.02304154216830589,0.0,0.11904761904761904,0.8462716318527264,1.0,0.19518001741940832
