,max_event,head_pushing_ratio,distance_ratio,interaction_persistence,significant_ratio,velocity_during_interactions,distance_moved,nb_events,chamber_ratio,chamber_exit_time,has_finished,first_major_event_time,flailing,fraction_not_facing_ball,first_major_event,final_event,chamber_time,max_event_time,normalized_velocity,nb_freeze,pulled,persistence_at_end,pulling_ratio,time_chamber_beginning,total_pause_duration,velocity_trend
has_finished,-0.07679570103215054,-0.07824015928614945,-0.4465879872490746,0.03811618427327426,0.20582700853015598,-0.09500531054834556,0.08752799181928354,0.2607622816284241,-0.14585541193353618,-0.0405824324050038,1.0,-0.5044441483522046,0.014195643985234794,-0.06445586715831061,-0.1382069448458691,0.2889182331465173,-0.6913730444654835,-0.32625858360005927,-0.23477503085593485,0.10020597116759053,-0.28214084804074924,0.46718984784524237,-0.018612173234657102,-0.2719063906694582,-0.1611873318204928,0.06672037293562476
first_major_event_time,-0.01283599571961248,0.09435891192654074,0.03808473605572871,-0.06691973686000623,-0.27940302047137744,0.10649912492474069,-0.2603884849293943,-0.46358473737499134,0.40500688790949974,0.1290078268158764,-0.5044441483522046,1.0,0.020109598519064763,0.06928171691006284,0.2906770683636232,-0.0894986724575315,0.7757203325810397,0.5536263049991408,0.46752737899802727,-0.18223279383897917,-0.039226903510315214,-0.5502448944208076,-0.11175801977615075,0.5979691695296706,0.03709577243635411,0.02119701271150424
flailing,0.07306079396915156,0.04017894810210042,-0.02027302399842686,-0.13874851095180632,-0.16835824108792066,0.38654928618191164,0.02951790268874732,-0.0011350162580981375,0.072848896211174,0.018558736433307473,0.014195643985234794,0.020109598519064763,1.0,-0.13731931257239427,0.08447184576249311,0.0893654312776853,0.09419823449462657,0.05250475228743347,-0.012244305849392855,-0.2630338868652617,0.03718183832713368,-0.19083686426627663,0.21382677831953104,0.2019784846812866,-0.18059445319290235,0.02361473230047676
fraction_not_facing_ball,-0.03242305701732663,-0.030813132581384,-0.005501970275902357,0.06987616698330587,0.09755791028124582,0.2961623255929621,-0.033257517833645375,-0.04965365221923419,0.030474109369718682,0.020389236712512655,-0.06445586715831061,0.06928171691006284,-0.13731931257239427,1.0,-0.06474712199701106,-0.031461272217473864,0.04884623802557386,0.03332248805247372,0.14623109897661143,0.1504360292691078,-0.002678321280961069,0.03296965678334683,-0.11850845018110254,-0.018467327249490136,0.08204585669055459,-0.12680615267263984
first_major_event,0.45675662002296463,0.07417200836608384,0.24586410808209938,-0.06267867317820071,-0.3850168163938839,0.013063753369507453,0.17656506144843706,0.1636155208614467,-0.09271444923052995,-0.01834468210628887,-0.1382069448458691,0.2906770683636232,0.08447184576249311,-0.06474712199701106,1.0,0.3574112206602879,0.1806147822755758,0.2593027623803223,0.027471247372679506,0.10079459028928364,0.23911770591503642,-0.1742411720742431,0.21438047209941108,0.13600935256063393,0.28684392543080167,0.014106579362856751
final_event,0.7648315329849166,0.07688254035896862,0.16580569934496825,-0.07490946350383458,-0.35907911223352096,0.021172199557038508,0.5309159123301185,0.36103786638369806,-0.3784085272123109,-0.02371696319260561,0.2889182331465173,-0.0894986724575315,0.0893654312776853,-0.031461272217473864,0.3574112206602879,1.0,-0.011009849538981502,0.29876555792478104,-0.07787934300378473,0.09316556813782857,0.4307245580678512,-0.007717404186834553,0.29489908399752246,0.02338526026255386,0.24143003258313486,0.0197353317207075
chamber_time,0.1457397923086057,0.11139646022349471,0.2824583180699105,-0.09354433054995603,-0.3219683843067938,0.12051183899236435,-0.04966110614365737,-0.5205989818597632,0.4081511770223545,0.0789750861606514,-0.6913730444654835,0.7757203325810397,0.09419823449462657,0.04884623802557386,0.1806147822755758,-0.011009849538981502,1.0,0.7424371315445014,0.3842818140274166,-0.24757545998954883,0.21135914900640898,-0.7340187988584526,0.08007866513473288,0.7182049951120854,0.0737298423370933,0.02781368550165267
max_event_time,0.5207514577173091,0.13144270291845925,0.18644228577517863,-0.10114514162780493,-0.34018324079098694,0.06881726410786912,0.16313230569983178,-0.34507077698843774,0.18701141195860557,0.023107454109648862,-0.32625858360005927,0.5536263049991408,0.05250475228743347,0.03332248805247372,0.2593027623803223,0.29876555792478104,0.7424371315445014,1.0,0.30363024259522653,-0.15561821454769156,0.2791649995742385,-0.6030013516115101,0.1333859775447343,0.614682523684174,0.14993790897541842,0.03609768872729295
normalized_velocity,-0.06192808829071845,0.03531908877617703,-0.047204783253807454,-0.030745639069392573,-0.10405705194885825,0.26686979049593446,-0.16805620414737346,-0.2970567079999798,0.2625930322752705,0.061737135460887355,-0.23477503085593485,0.46752737899802727,-0.012244305849392855,0.14623109897661143,0.027471247372679506,-0.07787934300378473,0.3842818140274166,0.30363024259522653,1.0,-0.151713023469936,-0.08100575574305866,-0.30283930775274115,-0.23462175980923689,0.34106689967469905,-0.04225295723175812,-0.33229143160694397
nb_freeze,0.0963277848246548,0.036692717492616524,0.043224394177344694,0.04392879997607574,0.0043505487865302265,-0.2379859370171514,0.0904543553612291,0.23687443963737806,-0.24746494575840502,-0.04751307419461144,0.10020597116759053,-0.18223279383897917,-0.2630338868652617,0.1504360292691078,0.10079459028928364,0.09316556813782857,-0.24757545998954883,-0.15561821454769156,-0.151713023469936,1.0,0.045667446498609945,0.3734676897041082,0.043972981158453404,-0.3193653007130486,0.39499636585292847,0.0170299269381694
pulled,0.6212137431486658,0.07793229504244868,0.8287060587041117,-0.05058145661812203,-0.12973219550788173,-0.025729574874504422,0.8594627431774142,0.2801079421537945,-0.276287637576334,-0.023581076887752888,-0.28214084804074924,-0.039226903510315214,0.03718183832713368,-0.002678321280961069,0.23911770591503642,0.4307245580678512,0.21135914900640898,0.2791649995742385,-0.08100575574305866,0.045667446498609945,1.0,-0.16974619760419402,0.4766262942405012,0.061923735716633184,0.3166924148969215,0.011744892069020506
persistence_at_end,-0.1364022439248841,-0.15151826782893263,-0.22988164882808568,0.15200981366477817,0.29644663631053714,-0.2157585268278233,0.0157710272140162,0.6333134408999714,-0.3875033225615769,-0.07069294143285743,0.46718984784524237,-0.5502448944208076,-0.19083686426627663,0.03296965678334683,-0.1742411720742431,-0.007717404186834553,-0.7340187988584526,-0.6030013516115101,-0.30283930775274115,0.3734676897041082,-0.16974619760419402,1.0,-0.06595775667914679,-0.7576912602514185,-0.05854860849569525,0.022013802517133894
pulling_ratio,0.35989403187674446,0.07225672700576478,0.38994914460321584,-0.08407407803081397,-0.16549717426738336,-0.04975668429020807,0.4394855388275254,0.18835598934669304,-0.21816631302429873,-0.035909172645454235,-0.018612173234657102,-0.11175801977615075,0.21382677831953104,-0.11850845018110254,0.21438047209941108,0.29489908399752246,0.08007866513473288,0.1333859775447343,-0.23462175980923689,0.043972981158453404,0.4766262942405012,-0.06595775667914679,1.0,0.07652545301154891,0.1930391395807135,0.07709820341269084
time_chamber_beginning,0.056207801736214154,0.07516802670512208,0.0799494066223219,-0.14235559973091638,-0.29234422503567575,0.12953901120940023,-0.042465922222698835,-0.5688091776812059,0.5629246200718367,0.10777225891943706,-0.2719063906694582,0.5979691695296706,0.2019784846812866,-0.018467327249490136,0.13600935256063393,0.02338526026255386,0.7182049951120854,0.614682523684174,0.34106689967469905,-0.3193653007130486,0.061923735716633184,-0.7576912602514185,0.07652545301154891,1.0,-0.04371952743107893,0.06419934899456876
total_pause_duration,0.33772509207651397,0.05333791922990086,0.31272900975127604,0.044503012398792376,-0.19771118599554618,-0.15102975782054595,0.2539218260795963,0.11883521186382996,-0.25091761017590203,-0.006482506415647654,-0.1611873318204928,0.03709577243635411,-0.18059445319290235,0.08204585669055459,0.28684392543080167,0.24143003258313486,0.0737298423370933,0.14993790897541842,-0.04225295723175812,0.39499636585292847,0.3166924148969215,-0.05854860849569525,0.1930391395807135,-0.04371952743107893,1.0,0.008443227171188224
velocity_trend,0.020166801992282962,-0.011376899185255647,0.01073997294432625,0.00211253006362098,0.005498797692499435,-0.5229453652681765,0.04007072408841239,0.009128935623856159,0.0015618331298926909,0.009410715296386502,0.06672037293562476,0.02119701271150424,0.02361473230047676,-0.12680615267263984,0.014106579362856751,0.0197353317207075,0.02781368550165267,0.03609768872729295,-0.33229143160694397,0.0170299269381694,0.011744892069020506,0.022013802517133894,0.07709820341269084,0.06419934899456876,0.008443227171188224,1.0
