Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
LC16-1,distance_moved,0.1958749032663824,1,0.9342393414808572,False,0.5734426557344265,False,0.36079668574643065,AGREE
86720 (LH18),distance_moved,0.8412917035447927,1,0.0306318885980378,False,0.0114988501149885,False,0.0191330384830493,AGREE
SS32219-Gal4 (LAL-2),distance_moved,0.085449300695515,1,0.9177005935174078,False,0.8112188781121887,False,0.10648171540521911,AGREE
DDC-gal4,distance_moved,0.8287494218367641,1,0.0376249902573399,False,0.0202979702029797,True,0.017327020054360202,"DISAGREE: MW-no, Perm-yes"
MB434B,distance_moved,0.0053506469829385,1,0.7042746132087777,False,0.9877012298770124,False,0.28342661666823465,AGREE
MB418B ,distance_moved,-0.0921500123961545,-1,0.2834237661652212,False,0.792020797920208,False,0.5085970317549868,AGREE
SS32230-Gal4 (LAL-1),distance_moved,-0.2486683256928908,-1,0.141909061056916,False,0.4716528347165283,False,0.32974377365961227,AGREE
LC22,distance_moved,0.1582133084202792,1,0.7339584133781933,False,0.6624337566243376,False,0.07152465675385578,AGREE
75945 (LH1543),distance_moved,0.0609257571907561,1,0.6799279308955285,False,0.8572142785721428,False,0.17728634767661433,AGREE
MB296B (PPL1-03),distance_moved,0.0786386156782475,1,0.5635436160789709,False,0.8253174682531746,False,0.2617738521742038,AGREE
50742 (MB247-GAL4),distance_moved,0.7190917954617403,1,0.091892211098656,False,0.0696930306969303,False,0.022199180401725707,AGREE
86707 (LH578),distance_moved,0.2647513216856325,1,0.8301322406402155,False,0.4476552344765523,False,0.3824770061636632,AGREE
MB310C,distance_moved,0.7550440297082984,1,0.2413277275159367,False,0.0267973202679732,False,0.21453040724796352,AGREE
KC-α/βc-GaL4,distance_ratio,-0.1539092010026852,-1,0.8362744674315843,False,0.654934506549345,False,0.18133996088223925,AGREE
72D07-GAL4,distance_ratio,-0.7150667479100521,-1,0.0022659997331555,True,0.038996100389961,False,0.0367301006568055,"DISAGREE: MW-yes, Perm-no"
KC-γmain-GaL4,distance_ratio,-0.3493859019217827,-1,0.7047778292539938,False,0.3290670932906709,False,0.3757107359633229,AGREE
LC10-2,distance_ratio,-0.4568643828753388,-1,0.3302327929924233,False,0.1945805419458054,False,0.1356522510466179,AGREE
51983 (Mip-GAL4 1M),distance_ratio,0.8729632363292615,1,0.1123990877065428,False,0.0031996800319968,True,0.109199407674546,"DISAGREE: MW-no, Perm-yes"
MB504B (All PPL1),distance_ratio,0.3609971268216302,1,0.3794626650711514,False,0.3416658334166583,False,0.0377968316544931,AGREE
MB312B (PAM-07),distance_ratio,0.5235828729212308,1,0.1578955514932796,False,0.1366863313668633,False,0.021209220126416295,AGREE
MB304B (PPL1-04),distance_ratio,-0.0332673629810937,-1,0.8632664146869172,False,0.9215078492150784,False,0.05824143452816122,AGREE
86615 (LH2201),distance_ratio,-0.7424010813772874,-1,0.066568712763805,False,0.0683931606839316,False,0.0018244479201266067,AGREE
9998 (OR67d-GAL4),distance_ratio,0.7849589129660487,1,0.0009455919019482,True,0.001999800019998,True,0.0010542081180498,AGREE
MBON-08-GaL4  MBON-09-GaL4 ,distance_ratio,1.0648055390988,1,0.0354364651485023,False,0.0046995300469953,True,0.030736935101507,"DISAGREE: MW-no, Perm-yes"
854 (OK107-Gal4),distance_ratio,1.4155143031283344,1,0.0008081179754201,True,9.999000099990002e-05,True,0.0007081279744201999,AGREE
41731 (IR8a-GAL4),distance_ratio,1.820244674525248,1,0.0330024666409105,False,0.0012998700129987,True,0.0317025966279118,"DISAGREE: MW-no, Perm-yes"
9943 (GR63a-GAL4),distance_ratio,0.5938257267202112,1,0.0445317157430383,False,0.0497950204979502,False,0.0052633047549119,AGREE
75823 (LH2446),distance_ratio,-0.186898560946376,-1,0.9342393414808572,False,0.5902409759024098,False,0.34399836557844743,AGREE
86685 (LH272),distance_ratio,-0.582764239865859,-1,0.1395629953481823,False,0.0728927107289271,False,0.06667028461925521,AGREE
LC16-1,distance_ratio,-0.3210757839758149,-1,0.4187334731868158,False,0.3606639336066393,False,0.05806953958017652,AGREE
86720 (LH18),distance_ratio,0.7693687804147626,1,0.0360988448714601,False,0.0233976602339766,False,0.012701184637483504,AGREE
SS32219-Gal4 (LAL-2),distance_ratio,-0.3683045089550372,-1,0.7305189305635289,False,0.3016698330166983,False,0.4288490975468306,AGREE
DDC-gal4,distance_ratio,0.837868239132347,1,0.0040488751070816,True,0.0003999600039996,True,0.003648915103082,AGREE
MB434B,distance_ratio,-0.5088170180856972,-1,0.2038391869936623,False,0.1463853614638536,False,0.05745382552980868,AGREE
MB418B ,distance_ratio,-0.381971996802304,-1,0.3141029967243296,False,0.2702729727027297,False,0.04383002402159991,AGREE
SS32230-Gal4 (LAL-1),distance_ratio,-0.5982864697500311,-1,0.0831386551908183,False,0.0840915908409159,False,0.0009529356500976027,AGREE
LC22,distance_ratio,-0.1607952223160834,-1,0.8207530878829786,False,0.6633336666333367,False,0.15741942124964192,AGREE
75945 (LH1543),distance_ratio,-0.3519612232760264,-1,0.2834237661652212,False,0.3093690630936906,False,0.02594529692846942,AGREE
MB296B (PPL1-03),distance_ratio,-0.332404414582105,-1,0.6799279308955285,False,0.3401659834016598,False,0.3397619474938687,AGREE
