genotype,control,significant,significant_PCs,num_significant_PCs,permutation_pval,PCA1_pval,PCA1_pval_corrected,PCA1_significant,PCA2_pval,PCA2_pval_corrected,PCA2_significant,PCA3_pval,PCA3_pval_corrected,PCA3_significant,PCA4_pval,PCA4_pval_corrected,PCA4_significant,PCA5_pval,PCA5_pval_corrected,PCA5_significant,PCA6_pval,PCA6_pval_corrected,PCA6_significant,PCA7_pval,PCA7_pval_corrected,PCA7_significant,PCA8_pval,PCA8_pval_corrected,PCA8_significant,PCA9_pval,PCA9_pval_corrected,PCA9_significant,PCA10_pval,PCA10_pval_corrected,PCA10_significant
VT43924 (MB-APL),Empty-Gal4,True,"['PCA1', 'PCA3', 'PCA10']",3,0.0009990009990009,0.007886378963188565,0.03857968071053191,True,0.07743559850175236,0.1548711970035047,False,0.011573904213159573,0.03857968071053191,True,0.11694331449775575,0.19490552416292625,False,0.6799279308955285,0.7554754787728094,False,0.6799279308955285,0.7554754787728094,False,0.38177507957884527,0.5453929708269218,False,0.06698525423196508,0.1548711970035047,False,1.0,1.0,False,0.0031374482566353763,0.03137448256635376,True
LC10-2,Empty-Split,True,[],0,0.0159840159840159,0.0516819061644163,0.5009216026169805,False,0.26136517590616637,0.5009216026169805,False,0.21140013326822704,0.5009216026169805,False,0.3345561838743112,0.5009216026169805,False,0.6464067390155086,0.692486835516168,False,0.28919323724869117,0.5009216026169805,False,0.16873524285558883,0.5009216026169805,False,0.35064512183188634,0.5009216026169805,False,0.6464067390155086,0.692486835516168,False,0.692486835516168,0.692486835516168,False
86685 (LH272),Empty-Split,True,[],0,0.0299700299700299,0.470027358170484,0.7425994410351322,False,0.9685670787571163,0.9685670787571163,False,0.13090442992306858,0.5065594719652333,False,0.030211710881074053,0.3021171088107405,False,0.20262378878609333,0.5065594719652333,False,0.4079446987715286,0.7425994410351322,False,0.5198196087245925,0.7425994410351322,False,0.7228520508723908,0.8921346883554354,False,0.8029212195198919,0.8921346883554354,False,0.1760802741918347,0.5065594719652333,False
GMR70G12-Gal4,Empty-Gal4,True,[],0,0.0419580419580419,0.812432208131742,0.9621482836066155,False,0.12491355360268398,0.4163785120089466,False,0.36721620202250527,0.7344324040450105,False,0.03823483580600874,0.1911741790300437,False,0.9369558676699575,0.9621482836066155,False,0.911826411753384,0.9621482836066155,False,0.6238520809623239,0.9621482836066155,False,0.00824611159729866,0.0824611159729866,False,0.9621482836066155,0.9621482836066155,False,0.20006609056316782,0.5001652264079195,False
MB247-Gal4,Empty-Gal4,True,['PCA1'],1,0.0069930069930069,0.003792408129812635,0.03792408129812635,True,0.5583365375081784,0.8282870672258664,False,0.5798009470581065,0.8282870672258664,False,0.28919323724869117,0.768533596338381,False,0.911826411753384,0.911826411753384,False,0.812432208131742,0.9027024534797133,False,0.7397342431142654,0.9027024534797133,False,0.3842667981691905,0.768533596338381,False,0.10323093020037072,0.5161546510018535,False,0.31895098736180794,0.768533596338381,False
MB310C,Empty-Split,True,"['PCA2', 'PCA5']",2,0.0359640359640359,0.9621482836066155,0.9621482836066155,False,0.0027911658932925063,0.013955829466462531,True,0.132881986620485,0.3183108862923698,False,0.4017932346855225,0.653106752269881,False,0.0013212768739994153,0.013212768739994152,True,0.9621482836066155,0.9621482836066155,False,0.04128168070817079,0.1376056023605693,False,0.45717472658891667,0.653106752269881,False,0.1591554431461849,0.3183108862923698,False,0.5583365375081784,0.6979206718852229,False
DDC-gal4,Empty-Gal4,True,"['PCA4', 'PCA5']",2,0.0149850149850149,0.9873785512460885,0.9873785512460885,False,0.28919323724869117,0.4819887287478186,False,0.07384365056328972,0.2461455018776324,False,0.0008442254358159093,0.008442254358159092,True,0.0022647166599466446,0.011323583299733223,True,0.16873524285558883,0.4218381071389721,False,0.9369558676699575,0.9873785512460885,False,0.7879850135276372,0.9849812669095465,False,0.22319125752825608,0.44638251505651216,False,0.6238520809623239,0.8912172585176057,False
51989 (Dh31-GAL4 5F),Empty-Gal4,True,[],0,0.0029970029970029,0.011894169833407837,0.05947084916703918,False,0.0062051523715888094,0.05947084916703918,False,0.17874135975693473,0.35748271951386945,False,0.692486835516168,0.7397342431142654,False,0.43825357196871007,0.7304226199478502,False,0.6016446404961844,0.7397342431142654,False,0.7159745798891979,0.7397342431142654,False,0.12491355360268398,0.3122838840067099,False,0.7397342431142654,0.7397342431142654,False,0.0257128556670833,0.08570951889027767,False
R38H02-gal4 (R4 (EB)),Empty-Gal4,True,"['PCA2', 'PCA3', 'PCA5', 'PCA6']",4,0.0099900099900099,0.7508639985954604,0.7508639985954604,False,0.003259213638776681,0.010864045462588937,True,0.0016113934364989817,0.009306875619951513,True,0.3198168473325793,0.39977105916572414,False,0.004875151596125731,0.012187878990314326,True,0.0018613751239903026,0.009306875619951513,True,0.06554805097602232,0.13109610195204463,False,0.4335287866464803,0.48169865182942256,False,0.07894592208173579,0.131576536802893,False,0.3198168473325793,0.39977105916572414,False
23292 (ORCO-GAL4),Empty-Gal4,True,['PCA2'],1,0.0159840159840159,0.7397342431142654,0.7397342431142654,False,0.0016436881377648617,0.016436881377648618,True,0.4017932346855225,0.5739903352650322,False,0.5798009470581065,0.724751183822633,False,0.23544562486885767,0.4356086265102773,False,0.14999297257278157,0.3749824314319539,False,0.0846530330989827,0.3749824314319539,False,0.26136517590616637,0.4356086265102773,False,0.14123841781192514,0.3749824314319539,False,0.7397342431142654,0.7397342431142654,False
