Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
MB022B (OA-VPM3),Empty-Split,False,[],9672.36939935217,0.9040959040959041,0.43812059411019383,0.6643356643356644,False,0.9471480900052328,False,0.7603379279679858
R28E01-gal4 (ER3m (EB)),Empty-Gal4,False,[],24915.69005285055,0.37962037962037964,0.881363096482226,0.07592407592407592,False,0.6940128836680561,False,0.23076923076923078
MB058B (PPL1-05),Empty-Split,False,[],24371.9879647349,0.33266733266733267,0.5688393528283618,0.4125874125874126,False,0.6721237945727742,False,0.54362855687359
MB043B (PAM-11),Empty-Split,False,[],45030.21902540834,0.08791208791208792,0.9099412384133301,0.055944055944055944,False,0.378404204491161,False,0.2087912087912088
MB304B (PPL1-04),Empty-Split,False,[],15730.136543504424,0.6923076923076923,0.6258229037740021,0.3126873126873127,False,0.8159340659340659,False,0.4655044203916385
MB296B (PPL1-03),Empty-Split,False,[],20346.793562278373,0.46153846153846156,0.6769808222086766,0.24575424575424576,False,0.7037452343574792,False,0.3956043956043956
MB312B (PAM-07),Empty-Split,True,['FPCA1'],58537.363487033785,0.022977022977022976,1.043792445590139,0.015984015984015984,False,0.23736263736263738,False,0.1265934065934066
MB056B (PAM-05),Empty-Split,False,[],13784.131469496262,0.7652347652347652,0.5346743466157304,0.4945054945054945,False,0.8486708821904352,False,0.5982310372554275
MB315C (PAM-01),Empty-Split,False,[],48069.052154990466,0.07792207792207792,0.7947253250881379,0.12687312687312688,False,0.36734693877551017,False,0.27305303392259916
MB504B (All PPL1),Empty-Split,True,['FPCA1'],67217.16892612168,0.01098901098901099,1.0696705486632387,0.006993006993006993,False,0.18131868131868134,False,0.07692307692307693
MB465C (MB-CSD),Empty-Split,False,[],6127.9764686280005,0.974025974025974,0.19707754929642546,0.9530469530469531,False,0.9789702683103698,False,0.9677092138630601
MB380B (MB-C1),Empty-Split,False,[],7294.226126549789,0.9500499500499501,0.3511219858921242,0.7932067932067932,False,0.9789702683103698,False,0.848945648945649
SS54295-gal4 (PBG2‐9.s‐EBt.b‐NO1.b (PB)),Empty-Split,False,[],29710.13273544012,0.2817182817182817,0.6024661233769113,0.35264735264735264,False,0.6364070711896799,False,0.5023322001739268
MB063B (PAM-10),Empty-Split,False,[],51163.227912800015,0.055944055944055944,0.9377760272207913,0.05194805194805195,False,0.31868131868131866,False,0.2016060862214708
41744 (IR8a mutant),TNTxPR,False,[],59526.678864822505,0.023976023976023976,0.8861368747952416,0.06593406593406594,False,0.23736263736263738,False,0.22127025516856028
51306 (OR47b mutant),TNTxPR,False,[],10935.888520413866,0.7522477522477522,0.6841632906239706,0.35864135864135865,False,0.8486708821904352,False,0.5050268880056114
c316 (MB-DPM),Empty-Gal4,True,['FPCA1'],75035.38054500752,0.001998001998001998,1.0164204839045656,0.016983016983016984,False,0.07912087912087912,False,0.12933220625528316
86666 (LH1139),Empty-Split,False,[],57764.323637816204,0.04495504495504495,0.80130836098165,0.11888111888111888,False,0.3178963893249607,False,0.27305303392259916
86670 (LH1594),Empty-Split,False,[],22228.25539501497,0.42957042957042957,0.7079383224419398,0.21978021978021978,False,0.7037452343574792,False,0.3656847354326346
86674 (LH247),Empty-Split,False,[],28674.837437206446,0.23376623376623376,0.6366904272863232,0.2787212787212787,False,0.6011131725417439,False,0.4326923076923077
86667 (LH1000),Empty-Split,False,[],30534.766757080586,0.1998001998001998,0.8598685788759538,0.059940059940059943,False,0.5631868131868132,False,0.21485411140583557
86671 (LH412),Empty-Split,True,"['FPCA1', 'FPCA3']",77268.67256556384,0.01998001998001998,1.3987654481056007,0.030969030969030968,False,0.23736263736263738,False,0.16813186813186815
86675 (LH542),Empty-Split,False,[],13064.441118779901,0.8041958041958042,0.39232098275356314,0.7302697302697303,False,0.8846153846153846,False,0.7988585999635723
86669 (LH567),Empty-Split,False,[],17219.357500246322,0.6043956043956044,0.7859493340074656,0.14585414585414586,False,0.7611628877451662,False,0.3008241758241758
86661 (LH1554),Empty-Split,False,[],3101.822435604992,0.9920079920079921,0.1383861818254638,0.987012987012987,False,0.9920079920079921,False,0.9920232052211748
VT43924 (MB-APL),Empty-Gal4,True,['FPCA3'],48042.53777352389,0.06393606393606394,1.187196640528775,0.002997002997002997,False,0.34214434214434214,True,0.04945054945054945
