Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
MB543B,Empty-Split,False,[],1.782732970043288,0.3026973026973027,1.0526556429198746,0.07292707292707293,False,0.5237979411892456,False,0.21341893400716933
MB434B,Empty-Split,False,[],1.9523219346376761,0.2137862137862138,0.9439948055607091,0.22277722277722278,False,0.4783038743434783,False,0.39582738689881547
7362 (C739-Gal4),Empty-Gal4,False,[],1.5326449104228543,0.32967032967032966,0.8503405992855841,0.3986013986013986,False,0.5402903548064838,False,0.5323602571924719
51969 (Capa-GAL4 4F),Empty-Gal4,False,[],2.074478175696376,0.2007992007992008,0.9520106070278171,0.24475524475524477,False,0.4783038743434783,False,0.4058857808857809
MB418B ,Empty-Split,False,[],1.6369028290222942,0.26973026973026976,0.9040774860518974,0.2817182817182817,False,0.49244333648003374,False,0.44143258316486667
86683 (LH168),Empty-Split,False,[],2.559398326820958,0.2037962037962038,0.8226029241144985,0.44555444555444557,False,0.4783038743434783,False,0.5611730042109789
86692 (LH1479),Empty-Split,False,[],2.10589195198932,0.16983016983016982,1.009839241722092,0.11888111888111888,False,0.4783038743434783,False,0.2920659587326254
86682 (LH85),Empty-Split,True,"['PCA1', 'PCA4', 'PCA6']",1.9182264973181407,0.3196803196803197,1.5299142919658837,0.000999000999000999,False,0.5345914589612069,True,0.018072836254654435
86701 (LH849),Empty-Split,False,[],2.476430708032204,0.04395604395604396,0.994462767520576,0.0999000999000999,False,0.2650682650682651,False,0.25487333179640875
86685 (LH272),Empty-Split,False,[],2.4084740507177287,0.03596403596403597,0.910878760998732,0.16583416583416583,False,0.2385614385614386,False,0.3648104472846741
86690 (LH374),Empty-Split,False,[],1.8648416870556968,0.21578421578421578,1.077029965648443,0.07492507492507493,False,0.4783038743434783,False,0.21608825956652045
86697 (LH989),Empty-Split,False,[],1.8428472553485327,0.2127872127872128,0.7682958196611339,0.5624375624375625,False,0.4783038743434783,False,0.6669839036702943
86693 (LH979),Empty-Split,False,[],0.7070569331597083,0.6673326673326674,0.9437679269958154,0.22477522477522477,False,0.7418949765318481,False,0.3958430949581392
86699 (LH123),Empty-Split,True,"['PCA1', 'PCA4', 'PCA5']",1.2908429919551092,0.3856143856143856,1.2159445460643916,0.02197802197802198,False,0.5933451164220395,False,0.11820611820611822
SS32219-Gal4 (LAL-2),Empty-Split,False,[],2.006680506979081,0.21078921078921078,0.87192633036607,0.34565434565434566,False,0.4783038743434783,False,0.4878384027320198
GMR70G12-Gal4,Empty-Gal4,False,[],2.447299305021817,0.027972027972027972,1.075295732469513,0.06493506493506493,False,0.19194598504943333,False,0.19880119880119876
SS32230-Gal4 (LAL-1),Empty-Split,True,['PCA1'],1.3144646159577245,0.2677322677322677,0.7650965236876461,0.5334665334665335,False,0.49244333648003374,False,0.6433929706656979
MBON-22-GaL4 (MBON-calyx),Empty-Split,False,[],2.2372575413295563,0.14585414585414586,1.104939957491786,0.055944055944055944,False,0.4783038743434783,False,0.18250601857159235
MB247-Gal4,Empty-Gal4,False,[],4.649360134362365,0.007992007992007992,1.3162848574505157,0.007992007992007992,False,0.07952047952047951,False,0.0589040589040589
MB310C,Empty-Split,True,"['PCA2', 'PCA6']",3.2682853333969124,0.007992007992007992,1.311781785901847,0.004995004995004995,False,0.07952047952047951,True,0.045182090636636085
DDC-gal4,Empty-Gal4,True,"['PCA5', 'PCA6']",4.398900661001552,0.006993006993006993,1.5625322269902604,0.000999000999000999,False,0.07731157731157731,True,0.018072836254654435
MB301B (PAM-03),Empty-Split,False,[],1.0654551362152012,0.6543456543456544,0.9014850410759018,0.4955044955044955,False,0.7326605978291372,False,0.6049410711987399
76003 (LH528),Empty-Split,False,[],1.4873514462995006,0.28771228771228774,0.7927698102724522,0.5144855144855145,False,0.5158085158085158,False,0.6242842523330329
51993 (Lk-GAL4 2M),Empty-Gal4,False,[],1.4719053911719628,0.36663336663336665,1.0154421906772921,0.12187812187812187,False,0.5744885036223619,False,0.29221381028609944
75823 (LH2446),Empty-Split,False,[],1.6656695177174348,0.24075924075924077,0.9865584278609623,0.17182817182817184,False,0.4783038743434783,False,0.3648104472846741
75860 (LH2454),Empty-Split,False,[],1.1164621622897137,0.6123876123876124,0.6979335200467374,0.6933066933066933,False,0.7168537345007934,False,0.7707711283130277
76013 (LH1827),Empty-Split,False,[],0.8437959841471193,0.7282717282717283,0.874924055590414,0.35064935064935066,False,0.7833841833841834,False,0.49074701522253966
75956 (LH2445),Empty-Split,False,[],0.937908163520446,0.7022977022977023,1.1352406982039176,0.04495504495504495,False,0.7680461614887844,False,0.16741153583258844
52017 (AstC-GAL4 1M),Empty-Gal4,False,[],0.8031439583385348,0.6203796203796204,1.1174539372088594,0.059940059940059943,False,0.7219622482780378,False,0.18933447504876078
75945 (LH1543),Empty-Split,False,[],2.0393852887839854,0.23276723276723277,0.8403264094027874,0.41358641358641357,False,0.4783038743434783,False,0.5450575914152073
86604 (LH2001),Empty-Split,False,[],0.6761823239053127,0.8411588411588412,0.8565615288573574,0.3956043956043956,False,0.8718260905760906,False,0.5323602571924719
25681 (NPF-GAL4 2),Empty-Gal4,True,['PCA5'],2.1107705536584835,0.08591408591408592,1.316725262103397,0.006993006993006993,False,0.4323926073926074,False,0.0589040589040589
86647 (LH1959),Empty-Split,False,[],1.102140685850374,0.6113886113886113,0.7242392908296489,0.7782217782217782,False,0.7168537345007934,False,0.8409184398489211
86659 (LH1721),Empty-Split,False,[],1.5931353018515473,0.4155844155844156,0.6059680324568496,0.8301698301698301,False,0.6171738709052143,False,0.8604364385614386
86656 (LH721),Empty-Split,False,[],2.1883602495498713,0.22277722277722278,1.2409809913859116,0.04795204795204795,False,0.4783038743434783,False,0.16741153583258844
86643 (LH1893),Empty-Split,False,[],3.2284072302884765,0.059940059940059943,1.209814727332795,0.056943056943056944,False,0.35082564494329205,False,0.18276884405916663
86653 (LH1925),Empty-Split,False,[],2.467330858531466,0.11588411588411589,1.23384688243415,0.04995004995004995,False,0.4783038743434783,False,0.16847559220440578
86658 (LH1744),Empty-Split,False,[],1.8613102050032184,0.17882117882117882,0.7314299594404924,0.6343656343656343,False,0.4783038743434783,False,0.7297038221893712
86641 (LH1900),Empty-Split,False,[],1.1079003041221755,0.9000999000999002,0.9681343182161857,0.39760239760239763,False,0.918563487794257,False,0.5323602571924719
51989 (Dh31-GAL4 5F),Empty-Gal4,True,"['PCA1', 'PCA2']",3.7470012072188394,0.002997002997002997,1.1882863254330953,0.024975024975024976,False,0.05964035964035964,False,0.12122024317146268
51990 (FMRFa-GAL4 1M),Empty-Gal4,False,[],0.9914863206710578,0.6103896103896104,1.1603231668069367,0.026973026973026972,False,0.7168537345007934,False,0.1278007706579135
51991 (sNPF-GAL4 2),Empty-Gal4,False,[],1.4340132506389793,0.3126873126873127,1.1310315352909444,0.03796203796203796,False,0.5318356856818396,False,0.15738428238428237
86830 (pC1-SS1),Empty-Split,True,"['PCA2', 'PCA4']",2.4453462247132984,0.08691308691308691,1.3774858857923518,0.000999000999000999,False,0.4323926073926074,True,0.018072836254654435
86713 (LH279),Empty-Split,False,[],1.4145935184028566,0.46153846153846156,0.9141710947206828,0.2627372627372627,False,0.6468039003250271,False,0.4285632400386499
86720 (LH18),Empty-Split,True,['PCA2'],2.3204846798802254,0.15084915084915085,0.936668718857174,0.24375624375624375,False,0.4783038743434783,False,0.4058857808857809
51992 (Lk-GAL4 1),Empty-Gal4,False,[],2.3780441807118615,0.12887112887112886,0.9831725910909594,0.16483516483516483,False,0.4783038743434783,False,0.3648104472846741
86714 (LH180),Empty-Split,False,[],1.9935654925083546,0.24675324675324675,0.8921674703367706,0.2937062937062937,False,0.4814107461166285,False,0.45090416829547264
R38H02-gal4 (R4 (EB)),Empty-Gal4,True,"['PCA2', 'PCA3', 'PCA6']",1.9868874272172825,0.014985014985014986,1.6853183215141,0.000999000999000999,False,0.1192807192807193,True,0.018072836254654435
86615 (LH2201),Empty-Split,False,[],0.3193832615590692,0.989010989010989,0.6966501170838847,0.7862137862137862,False,0.989010989010989,False,0.8409184398489211
86694 (LH1337),Empty-Split,False,[],1.9450547060578134,0.22777222777222778,1.1840027030941254,0.04795204795204795,False,0.4783038743434783,False,0.16741153583258844
LC25,Empty-Split,True,"['PCA1', 'PCA2', 'PCA4']",1.9803713363708937,0.33466533466533466,1.1564738723117574,0.03496503496503497,False,0.5402903548064838,False,0.15126178169656432
LC16-2,Empty-Split,False,[],1.2131574402359895,0.5364635364635365,0.7191899011967187,0.6313686313686314,False,0.6932223620535309,False,0.7297038221893712
LC24,Empty-Split,False,[],1.5513647162878124,0.26173826173826176,1.172897859178374,0.024975024975024976,False,0.49244333648003374,False,0.12122024317146268
LC15,Empty-Split,False,[],1.5456060064102795,0.34065934065934067,0.9016797392355992,0.3096903096903097,False,0.5423296703296703,False,0.45090416829547264
LC21,Empty-Split,False,[],1.7071727654022155,0.2517482517482518,0.9503945485351283,0.2097902097902098,False,0.48638739900875827,False,0.3866592123472857
LC16-1,Empty-Split,False,[],2.28660506738213,0.15984015984015984,1.1391644252841724,0.04695304695304695,False,0.4783038743434783,False,0.16741153583258844
