Nickname,Control,Dimension,pval,FDR_significant,FDR_pval
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.1,0.036098844871460194,False,0.4904510125925962
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.2,0.9342393414808573,False,0.9928339598845664
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.3,0.3640709652228873,False,0.8008331419449704
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.4,0.7042746132087777,False,0.9398347057912294
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.5,0.13316846153095285,False,0.6416591729941796
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.6,0.49865925804988187,False,0.8674230100692876
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.7,0.6559104900442466,False,0.9232036785872922
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.8,0.3640709652228873,False,0.8008331419449704
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.9,0.023769359316792606,False,0.43197283141933596
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.10,0.43797600121511027,False,0.8385813540555125
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.11,0.6322436309019092,False,0.9153618228408871
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.12,0.22832704879820187,False,0.7120619961839312
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.13,0.13316846153095285,False,0.6416591729941796
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.14,0.8301322406402155,False,0.9715699007435455
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.15,0.9605149582960633,False,0.997746265959961
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.16,0.25484095580429567,False,0.7346281074198744
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.17,0.21583309506838322,False,0.7120619961839312
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.18,0.10231273169614818,False,0.6244640526937177
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.19,0.3640709652228873,False,0.8008331419449704
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,Dim.20,0.5635436160789709,False,0.8960861334375965
LPLC2,Empty-Split,Dim.1,0.911826411753384,False,0.9883085835453346
LPLC2,Empty-Split,Dim.2,0.6238520809623239,False,0.9101777592207988
LPLC2,Empty-Split,Dim.3,0.4017932346855225,False,0.8213338849760553
LPLC2,Empty-Split,Dim.4,0.9369558676699575,False,0.9928339598845664
LPLC2,Empty-Split,Dim.5,0.0257128556670833,False,0.43896028708613694
LPLC2,Empty-Split,Dim.6,0.0905192333421713,False,0.5984494164482421
LPLC2,Empty-Split,Dim.7,0.812432208131742,False,0.9686878934584582
LPLC2,Empty-Split,Dim.8,0.7159745798891979,False,0.9398347057912294
LPLC2,Empty-Split,Dim.9,0.20006609056316782,False,0.6880821380202434
LPLC2,Empty-Split,Dim.10,0.3038301300878443,False,0.7610093881369543
LPLC2,Empty-Split,Dim.11,0.7159745798891979,False,0.9398347057912294
LPLC2,Empty-Split,Dim.12,0.05560287121225844,False,0.5422123224768757
LPLC2,Empty-Split,Dim.13,0.7637449284635762,False,0.9534833172161334
LPLC2,Empty-Split,Dim.14,0.43825357196871007,False,0.8385813540555125
LPLC2,Empty-Split,Dim.15,0.911826411753384,False,0.9883085835453346
LPLC2,Empty-Split,Dim.16,0.7879850135276372,False,0.9558611258274904
LPLC2,Empty-Split,Dim.17,0.36721620202250527,False,0.8008331419449704
LPLC2,Empty-Split,Dim.18,0.35064512183188634,False,0.7893481814993821
LPLC2,Empty-Split,Dim.19,0.17874135975693473,False,0.683372345660519
LPLC2,Empty-Split,Dim.20,0.6692911266180891,False,0.9247307541328884
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.1,1.0,False,1.0
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.2,0.01671777533573901,False,0.4078280696278693
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.3,0.753865329868274,False,0.9534833172161334
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.4,0.9605149582960633,False,0.997746265959961
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.5,0.05350931097620926,False,0.5364409513483951
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.6,0.005852898091277535,False,0.2677532690032711
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.7,0.1510837576857439,False,0.66151084223241
