FPCA1,FPCA2,FPCA3,FPCA4,FPCA5,FPCA6,FPCA7,FPCA8,FPCA9,FPCA10
-36236.34755733069,5374.014802559553,37063.32543214909,9737.931297962205,3529.81324924404,8640.24193722277,-18586.128749192638,-4498.353111098552,-4553.47263282948,173.8707066083414
38351.136247694965,45347.72489802673,-17610.28732604942,-11816.950223328384,11771.893051710496,-3202.112875924031,-10999.12148351937,8565.552890166622,9532.282477622248,4182.700142044894
-20178.655738859303,32093.557772874938,34999.42996045299,5235.5516540249155,-8490.201046507427,7941.065234310609,-2226.1335541388016,3012.12037018229,3067.3614468185856,1849.4937799423712
87931.40111941654,-50169.33672093253,14109.985980101137,-9308.01113394394,8829.584341259007,3967.740294952095,3485.3969945638623,-2723.3934834027395,1493.2269937602512,-1359.9940948834171
-71023.03852660251,-30219.77481683446,-17582.26351871777,-5632.534343788995,-5134.3867005550455,2618.4979920918545,-373.43627847846676,-1988.3883860179224,-1156.005400299976,1479.9439492612153
-71885.85913521973,-29018.402896460404,-18763.597226717196,-8341.997115526323,-7037.17063655767,3670.9174849260353,-1947.5170818363124,102.57410479734831,95.41293886087466,-272.53164172044205
17587.129085309436,34418.56548861846,-2421.4002645133573,-377.1685723263706,5654.711131250319,509.7868524016437,-3553.6168030205886,6574.803883905199,4813.277507826641,510.628735609652
22728.557052479322,26593.322781849423,-11474.552232816495,17739.7811165689,7349.459973340905,10847.399641687427,1691.70197975446,1867.2207139297516,-6713.183750332512,-224.9863786975642
-13341.214559860082,26723.856273458183,4924.084224480438,-12855.540466127612,-7040.760439717156,-5702.290041650794,6242.340397442271,-2755.9965458738934,-3145.399317587497,-1723.1858354001456
-68524.43109746165,-26959.606187067864,-10646.64582232741,-661.0983422062824,3129.6186901436927,-1234.945624130692,4844.563256621853,-1564.0222842183966,1926.0544263221948,-1005.1963988971543
79856.89744647239,-43022.88851868955,16886.833212003196,-7655.775505468362,8867.48852421062,4240.741760224196,2009.9599216367953,-3305.538102293994,1198.2448391090873,-1376.0698161751511
-73658.44458537975,-29896.25204259161,-18052.233370664162,-8411.117326355,-5359.703358063146,3772.3919493517765,-1836.363387627716,-411.14198231236765,-267.22447397129383,486.731458515263
-51377.063049373246,-1301.6590618897899,19560.80490416977,12802.881268408248,6081.18959843426,2420.3292571960746,-7472.845535700795,-3664.5974282118827,-1608.1342575136164,-441.98626022324066
-39554.2382847576,9579.501073401083,15877.534848804911,751.4987964747869,-1933.1088741646317,-2849.567870988,11663.133265114588,6137.673355552936,3368.176126257035,1280.0172891495463
-44777.247666444135,3323.1581133674076,17457.33831285043,6635.586198293902,2956.5495946394813,-2852.6484721907445,6054.036252993284,3128.140418102052,1958.5348078974714,519.6262875502244
124034.10363514812,-62549.62193849578,14991.19173841928,-13479.065693777029,8767.452966411109,6829.191925184354,2129.8246117736135,-3939.439772508183,1586.940473611363,-1736.2901062141077
-45630.78935765488,-955.5044303635902,805.615648277052,-14939.73782475504,-21323.81197762064,9371.613588037537,1796.8968808890415,5831.333221989327,3737.029949229232,2615.5319974908766
-1035.687125561493,34457.60458974017,9795.992123164533,-6587.265239173777,-3896.6018119771334,-1435.8777386413858,-3462.1946672433846,-1134.2412452809713,-2810.1792822206676,-2022.3536953610433
-71019.74591610795,-27116.476059922312,-22125.726324621133,-12619.117716551727,-7370.328979152522,7423.784790778911,-2985.695048496523,-1695.3947145234836,991.963782792788,878.6536956193846
-62643.281085061586,-15983.070568107687,-20798.39576362693,-10099.616422825691,-2761.5230416198083,-241.87643941109198,-7121.726891613877,-5798.412168577564,-3858.8868434769415,-1487.3890255819895
-75372.90012868743,-22309.90159943114,-10195.55461575372,37.61977783944259,4045.7127060316984,-4920.075296640308,5340.271202880434,1738.4645681897919,387.2146592142407,25.063348262310612
-79037.07886505769,-30229.515876878075,-22698.084914246392,-9976.516666438976,-10455.594719067418,6371.696945012193,-4127.401891301247,-1219.2587702257501,-564.7115592549437,202.41288671180124
120763.41869994017,-41784.55086905667,3341.6195545021624,10091.647319019998,-12186.765431035048,-14486.956142999003,-6960.500135068956,8383.709771856289,-3424.740479754771,-2850.217142148507
30430.966053896984,12113.480921434752,-8744.71386884284,5586.150778916438,-15855.6615109872,-7233.956436163628,2430.6034304075315,-6770.196298609691,2902.7811752930115,-2909.3500951362093
138269.1637869929,-60886.37178366049,19556.806933013337,-13586.453736092222,9755.03671194946,6564.42574646289,3643.5423184091383,-3743.6875291938873,1935.3690405593877,-1843.6607550000363
-78444.10743021203,-30872.269651844574,-21517.27641009017,-9143.695522061087,-9530.232233132334,4967.371543635584,-3634.2687414198385,-1502.810758336843,116.8382914752261,248.14676314525036
