genotype,control,significant,significant_PCs,num_significant_PCs,permutation_pval,PC1_pval,PC1_pval_corrected,PC1_significant,PC1_direction,PC2_pval,PC2_pval_corrected,PC2_significant,PC2_direction,PC3_pval,PC3_pval_corrected,PC3_significant,PC3_direction,PC4_pval,PC4_pval_corrected,PC4_significant,PC4_direction,PC5_pval,PC5_pval_corrected,PC5_significant,PC5_direction,PC6_pval,PC6_pval_corrected,PC6_significant,PC6_direction,PC7_pval,PC7_pval_corrected,PC7_significant,PC7_direction,PC8_pval,PC8_pval_corrected,PC8_significant,PC8_direction,PC9_pval,PC9_pval_corrected,PC9_significant,PC9_direction,PC10_pval,PC10_pval_corrected,PC10_significant,PC10_direction
MB310C,Empty-Split,True,['SparsePCA9'],1,0.0359640359640359,0.5583365375081784,0.7976236250116834,False,1,0.07384365056328972,0.2461455018776324,False,1,0.1591554431461849,0.35748271951386945,False,1,0.17874135975693473,0.35748271951386945,False,-1,0.012929313968118694,0.06464656984059347,False,1,0.2750389932009092,0.4583983220015153,False,1,0.787931723701444,0.812432208131742,False,-1,0.7637449284635762,0.812432208131742,False,-1,4.5098720542377595e-05,0.00045098720542377594,True,1,0.812432208131742,0.812432208131742,False,-1
DDC-gal4,Empty-Gal4,True,[],0,0.0119880119880119,0.0516819061644163,0.17227302054805435,False,-1,0.18918230992030094,0.4555059037098621,False,1,0.2481686938067007,0.4555059037098621,False,1,0.41979076804604143,0.5437674034876863,False,-1,0.023606660456844435,0.11803330228422217,False,1,0.861855796318015,0.861855796318015,False,1,0.27330354222591724,0.4555059037098621,False,-1,0.00824611159729866,0.0824611159729866,False,1,0.43501392279014905,0.5437674034876863,False,1,0.7397342431142654,0.8219269367936282,False,1
51989 (Dh31-GAL4 5F),Empty-Gal4,True,"['SparsePCA5', 'SparsePCA9']",2,0.0029970029970029,0.20006609056316782,0.37198542921376015,False,1,0.4963589047945871,0.6441961743667678,False,1,0.18918230992030094,0.37198542921376015,False,1,0.7397342431142654,0.7397342431142654,False,-1,0.008229564954242277,0.041147824771211386,True,1,0.03021624712001323,0.10072082373337744,False,1,0.579776556930091,0.6441961743667678,False,-1,0.22319125752825608,0.37198542921376015,False,-1,0.0049842496377157635,0.041147824771211386,True,1,0.537265926636113,0.6441961743667678,False,-1
R38H02-gal4 (R4 (EB)),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA6', 'SparsePCA9', 'SparsePCA10']",4,0.0189810189810189,0.26193283344736606,0.3274160418092076,False,1,0.10313638215041629,0.20627276430083258,False,-1,0.0071844948522222256,0.023948316174074086,True,-1,0.8158906470894022,0.8158906470894022,False,1,0.5673585000364914,0.6303983333738793,False,1,0.00021208368931475464,0.0021208368931475464,True,-1,0.1823186900132885,0.260455271447555,False,-1,0.16887281286174516,0.260455271447555,False,1,0.00044522203021725735,0.0022261101510862866,True,-1,0.01676434395918608,0.0419108598979652,True,-1
23292 (ORCO-GAL4),Empty-Gal4,True,[],0,0.0289710289710289,0.35064512183188634,0.5844085363864773,False,-1,0.03021624712001323,0.15108123560006614,False,1,0.21140013326822704,0.5285003331705675,False,1,0.5166025822370435,0.6457532277963043,False,-1,0.10989273863385814,0.36630912877952715,False,1,0.5166025822370435,0.6457532277963043,False,-1,0.3035187650527693,0.5844085363864773,False,1,0.6692911266180891,0.6692911266180891,False,-1,0.009238003088569471,0.0923800308856947,False,1,0.6238520809623239,0.6692911266180891,False,1
MBON-08-GaL4  MBON-09-GaL4 ,Empty-Split,True,['SparsePCA9'],1,0.0069930069930069,0.3627341405072215,0.5113591427766889,False,1,0.026249384001633312,0.08749794667211104,False,1,0.19664544332065426,0.3932908866413085,False,1,0.7831879835419842,0.7831879835419842,False,-1,0.01398985959433429,0.06994929797167145,False,1,0.40908731422135114,0.5113591427766889,False,1,0.14410768801784485,0.3602692200446121,False,1,0.3627341405072215,0.5113591427766889,False,-1,0.00010133261341171432,0.0010133261341171431,True,1,0.6263761011321025,0.6959734457023361,False,1
9998 (OR67d-GAL4),Empty-Gal4,True,['SparsePCA1'],1,0.0019980019980019,0.0022647166599466446,0.022647166599466445,True,-1,0.11732270519879959,0.2933067629969989,False,1,0.068877950232121,0.22959316744040334,False,1,0.31895098736180794,0.5315849789363466,False,1,0.2289003808056087,0.4578007616112174,False,1,0.9873785512460885,0.9873785512460885,False,1,0.9621458494395454,0.9873785512460885,False,-1,0.7879850135276372,0.9849812669095465,False,-1,0.01656181467442732,0.0828090733721366,False,1,0.7637449284635762,0.9849812669095465,False,1
854 (OK107-Gal4),Empty-Gal4,True,"['SparsePCA1', 'SparsePCA3', 'SparsePCA5', 'SparsePCA6', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",7,0.0009990009990009,0.0006710312261220974,0.0011183853768701624,True,-1,0.9621482836066155,0.9621482836066155,False,1,1.1762392268284195e-05,5.8811961341420975e-05,True,1,0.28919323724869117,0.36149154656086396,False,-1,4.4567173743348866e-05,0.00014855724581116288,True,1,0.0004191808013159814,0.0008383616026319628,True,1,0.5797033611718314,0.6441148457464794,False,-1,0.0008442254358159093,0.0012060363368798705,True,1,3.0500142721562413e-06,3.0500142721562412e-05,True,1,0.00022789861951546706,0.0005697465487886676,True,1
9943 (GR63a-GAL4),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA5', 'SparsePCA6', 'SparsePCA9']",4,0.0009990009990009,0.36721620202250527,0.40801800224722806,False,-1,0.20006609056316782,0.2858087008045255,False,1,0.0062051523715888094,0.015512880928972022,True,1,0.2750389932009092,0.3437987415011365,False,-1,2.2258848995119164e-05,0.00016644218321724757,True,1,7.167853207417968e-05,0.0002389284402472656,True,1,0.06886009736006055,0.1377201947201211,False,-1,0.8370636154898536,0.8370636154898536,False,-1,3.328843664344952e-05,0.00016644218321724757,True,1,0.20006609056316782,0.2858087008045255,False,-1
51970 (Capa-GAL4 5F),Empty-Gal4,True,"['SparsePCA7', 'SparsePCA10']",2,0.0009990009990009,0.43825357196871007,0.5478169649608875,False,1,0.5798009470581065,0.6442232745090072,False,1,0.03823483580600874,0.09558708951502184,False,-1,0.16873524285558883,0.33344348427194637,False,-1,0.3840218930740332,0.5478169649608875,False,1,0.023687526472014643,0.07895842157338215,False,-1,0.009044897588158749,0.04522448794079374,True,-1,0.20006609056316782,0.33344348427194637,False,1,0.746349205662791,0.746349205662791,False,-1,0.0020371407888604863,0.02037140788860486,True,-1
51980 (Burs-GAL4 4M),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA7', 'SparsePCA10']",3,0.0009990009990009,0.9873785512460885,0.9873785512460885,False,1,0.6692911266180891,0.7436568073534323,False,1,0.005110005987414057,0.01703335329138019,True,-1,0.36721620202250527,0.5245945743178647,False,-1,0.026760951509615515,0.06690237877403878,False,1,0.17874135975693473,0.31530384986716825,False,-1,0.0005969222697608982,0.0059692226976089825,True,-1,0.18918230992030094,0.31530384986716825,False,1,0.44638440711805905,0.5579805088975738,False,-1,0.0016436881377648617,0.008218440688824309,True,-1
41731 (IR8a-GAL4),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA5', 'SparsePCA6', 'SparsePCA9']",4,0.0019980019980019,0.7702606318166959,0.8558451464629955,False,-1,0.27959226128562514,0.3994175161223217,False,1,0.014799845463461024,0.045692293976046836,True,1,0.5365835537460252,0.6707294421825314,False,-1,0.001926412869557617,0.019264128695576168,True,1,0.018276917590418735,0.045692293976046836,True,1,0.9734029919205417,0.9734029919205417,False,1,0.033002466640910576,0.06600493328182115,False,1,0.015153903756608286,0.045692293976046836,True,1,0.2508692680317394,0.3994175161223217,False,1
34497 (MZ19-GAL4),Empty-Gal4,True,"['SparsePCA1', 'SparsePCA10']",2,0.0039960039960039,0.0025112187583583466,0.025112187583583464,True,-1,0.08952717762786412,0.29842392542621377,False,1,0.27959226128562514,0.4659871021427086,False,1,0.19935213527890872,0.39870427055781743,False,1,0.6405204028046723,0.8006505035058403,False,1,0.7702606318166959,0.8558451464629955,False,1,0.6169985186262064,0.8006505035058403,False,1,0.15563612588784212,0.38909031471960526,False,1,0.9461889252067173,0.9461889252067173,False,1,0.009420785164492258,0.047103925822461284,True,1
41728 (IR25a-GAL4),Empty-Gal4,True,"['SparsePCA1', 'SparsePCA5', 'SparsePCA6']",3,0.0009990009990009,0.011842848227287586,0.039476160757625285,True,1,0.8204107105708937,0.8204107105708937,False,1,0.2508692680317394,0.35838466861677065,False,1,0.033002466640910576,0.08250616660227643,False,-1,0.002688249797399634,0.022140331064816186,True,1,0.004428066212963238,0.022140331064816186,True,1,0.24324252779199185,0.35838466861677065,False,-1,0.5365835537460252,0.5962039486066947,False,1,0.09031038868554192,0.18062077737108384,False,1,0.49420487978840383,0.5962039486066947,False,-1
30026 (GH146-GAL4),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA5']",2,0.0009990009990009,0.4148860293025053,0.5926943275750076,False,-1,0.02729650212487741,0.09098834041625804,False,1,0.007399922731730511,0.03699961365865255,True,1,0.6729174715444739,0.8411468394305923,False,-1,0.00046393149743304083,0.004639314974330408,True,1,0.3781241641653541,0.5926943275750076,False,1,0.40455459433939533,0.5926943275750076,False,-1,0.8711700199114387,0.9679666887904874,False,1,0.05833226553015733,0.1458306638253933,False,1,0.9741002704389433,0.9741002704389433,False,-1
