Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
R12D09 (P-EN1(2) patch line),Empty-Gal4,True,['PCA6'],"[0.5166025822370435, 0.5166025822370435, 0.39204776385924955, 0.05525847619165815, 0.07646967161201748, 0.0409702625538819]","[0.5166025822370435, 0.4963589047945871, 0.26136517590616637, 0.01841949206388605, 0.03823483580600874, 0.00682837709231365]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.5019390595637823,0.23076923076923078,1.3294441773012886,0.003996003996003996,False,0.4560733384262796,True,0.04185288395814712
R78B06-gal4 (ER2 (EB)),Empty-Gal4,False,[],"[0.7870925880530959, 0.1486624364683303, 0.8301322406402155, 0.22662563652861584, 0.10030665201443406, 0.22662563652861584]","[0.6559104900442466, 0.04955414548944343, 0.8301322406402155, 0.14190906105691606, 0.01671777533573901, 0.1510837576857439]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.8685805574012266,0.11388611388611389,1.16340217136097,0.03296703296703297,False,0.4560733384262796,False,0.14081751581751584
86705 (LH1668),Empty-Split,True,"['PCA2', 'PCA4']","[0.5956306857535045, 0.03260469092145759, 0.5956306857535045, 0.03260469092145759, 0.5956306857535045, 0.911826411753384]","[0.3345561838743112, 0.010868230307152529, 0.4963589047945871, 0.009049340514549248, 0.4017932346855225, 0.911826411753384]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.5750815987564857,0.4745254745254745,0.9077172183346536,0.27972027972027974,False,0.658528971028971,False,0.4514132484057296
9998 (OR67d-GAL4),Empty-Gal4,False,[],"[0.5500779864018184, 0.08524081330363903, 0.861855796318015, 0.5500779864018184, 0.861855796318015, 0.861855796318015]","[0.2750389932009092, 0.014206802217273171, 0.861855796318015, 0.20006609056316782, 0.7159745798891979, 0.812432208131742]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",3.7324933919147623,0.000999000999000999,0.9818654557061913,0.14585414585414586,True,0.039760239760239756,False,0.3359054738365083
854 (OK107-Gal4),Empty-Gal4,True,"['PCA2', 'PCA3', 'PCA4', 'PCA6']","[0.22319125752825608, 1.8365125227479104e-05, 0.00018820268496573696, 0.0005832689025035059, 0.22319125752825608, 0.008450424280614129]","[0.21140013326822704, 3.0608542045798505e-06, 6.273422832191232e-05, 0.00029163445125175296, 0.22319125752825608, 0.005633616187076086]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",11.807927312544747,0.000999000999000999,1.7038233465648975,0.000999000999000999,True,0.039760239760239756,True,0.033133533133533136
9983 (OR47b-GAL4),Empty-Gal4,False,[],"[0.911826411753384, 0.413267701392726, 0.911826411753384, 0.911826411753384, 0.911826411753384, 0.7445060814201021]","[0.812432208131742, 0.068877950232121, 0.537265926636113, 0.8370636154898536, 0.911826411753384, 0.2481686938067007]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.2346843400635203,0.4085914085914086,0.9710416965582002,0.1968031968031968,False,0.6205007114098023,False,0.3765753477291938
9941 (GR63a mutant),TNTxPR,False,[],"[0.9621482836066155, 0.9621482836066155, 0.9621482836066155, 0.9621482836066155, 0.9621482836066155, 0.9621482836066155]","[0.886784835609217, 0.8370636154898536, 0.5166025822370435, 0.9621482836066155, 0.18918230992030094, 0.43825357196871007]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.0892189583745313,0.4115884115884116,0.8351286868416474,0.46053946053946054,False,0.6205007114098023,False,0.5825630066136395
86703 (LH1531),Empty-Split,True,['PCA1'],"[0.030660035924484342, 0.6857620898833751, 0.6857620898833751, 0.37474066080805196, 0.9369558676699575, 0.9369558676699575]","[0.005110005987414057, 0.45717472658891667, 0.36721620202250527, 0.12491355360268398, 0.911826411753384, 0.9369558676699575]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.2097329766895641,0.5954045954045954,0.6591856285390802,0.7522477522477522,False,0.7173609523007114,False,0.8270569209795728
86707 (LH578),Empty-Split,False,[],"[0.525904286362452, 0.861855796318015, 0.525904286362452, 0.525904286362452, 0.525904286362452, 0.525904286362452]","[0.43825357196871007, 0.861855796318015, 0.20006609056316782, 0.43825357196871007, 0.41979076804604143, 0.3345561838743112]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.3453491855716972,0.17482517482517482,0.8694401568580059,0.3356643356643357,False,0.4560733384262796,False,0.47373902693051634
9943 (GR63a-GAL4),Empty-Gal4,True,"['PCA1', 'PCA2', 'PCA3', 'PCA5']","[0.0002751907114162351, 0.0002751907114162351, 0.003397074989919967, 0.9369558676699575, 0.0002751907114162351, 0.525904286362452]","[0.00013759535570811754, 0.0001063061735187313, 0.0022647166599466446, 0.9369558676699575, 7.167853207417968e-05, 0.43825357196871007]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",5.224877446020081,0.000999000999000999,1.502434631494029,0.001998001998001998,True,0.039760239760239756,True,0.03614567250930887
KC-α/βs-GaL4,Empty-Split,False,[],"[0.911826411753384, 0.911826411753384, 0.911826411753384, 0.911826411753384, 0.911826411753384, 0.8999578354366895]","[0.7159745798891979, 0.8370636154898536, 0.43825357196871007, 0.911826411753384, 0.911826411753384, 0.14999297257278157]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.9670619181429092,0.18581418581418582,0.6107782647072051,0.7932067932067932,False,0.4560733384262796,False,0.8486459776782357
R58E02 (All PAMs),Empty-Gal4,False,[],"[0.6957611364697277, 0.6957611364697277, 0.5362240792708042, 0.14212515883208787, 0.6957611364697277, 0.861855796318015]","[0.5798009470581065, 0.36721620202250527, 0.17874135975693473, 0.023687526472014643, 0.537265926636113, 0.861855796318015]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.3570167167318212,0.5114885114885115,0.9475247092646492,0.2087912087912088,False,0.692423223035468,False,0.3770367563471012
MB188B (PAM-08),Empty-Split,False,[],"[0.9369558676699575, 0.413267701392726, 0.9369558676699575, 0.9369558676699575, 0.8395815360920829, 0.8395815360920829]","[0.861855796318015, 0.068877950232121, 0.9369558676699575, 0.692486835516168, 0.41979076804604143, 0.31895098736180794]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.466661457916923,0.4225774225774226,1.1306946125842634,0.03696303696303696,False,0.6212537462537463,False,0.14422832069890892
SS52244-GAL4 (P-F1N3 (target FSB)),Empty-Split,False,[],"[0.5461064478343309, 0.5461064478343309, 1.0, 0.5461064478343309, 1.0, 0.5461064478343309]","[0.3640709652228873, 0.3468892911616084, 1.0, 0.3640709652228873, 1.0, 0.268871649924487]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.1889701122011647,0.6123876123876124,0.9163267810660598,0.2977022977022977,False,0.7266526576871405,False,0.4514132484057296
MB113C (OA-VPM4),Empty-Split,False,[],"[0.911826411753384, 0.8591694958670374, 0.8591694958670374, 0.8591694958670374, 0.8591694958670374, 0.8591694958670374]","[0.911826411753384, 0.5798009470581065, 0.43825357196871007, 0.7159745798891979, 0.5166025822370435, 0.4765462117850495]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.2385722351402566,0.2177822177822178,0.9191390220268846,0.25074925074925075,False,0.4560733384262796,False,0.41582584082584084
